,Unnamed: 0,Unnamed: 0.1,symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,city-L/100km,highway-L/100km,horsepower-binned,diesel,gas,aspiration-std,aspiration-turbo
0,0,0,3,122,0,2,0,2,0,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,0,4,130,5,3.47,2.68,9.0,111,5000.0,21,27,13495.0,11.190476190476188,8.703703703703704,1,0,1,1,0
1,1,1,3,122,0,2,0,2,0,88.6,0.8111484863046613,0.8902777777777777,0.8160535117056856,2548,0,4,130,5,3.47,2.68,9.0,111,5000.0,21,27,16500.0,11.190476190476188,8.703703703703704,1,0,1,1,0
2,2,2,1,122,0,2,2,2,0,94.5,0.8226814031715521,0.9097222222222222,0.8762541806020067,2823,4,6,152,5,2.68,3.47,9.0,154,5000.0,19,26,16500.0,12.36842105263158,9.038461538461537,2,0,1,1,0
3,3,3,2,164,1,4,3,1,0,99.8,0.8486304661220567,0.9194444444444444,0.9080267558528428,2337,2,4,109,5,3.19,3.4,10.0,102,5500.0,24,30,13950.0,9.791666666666666,7.833333333333332,1,0,1,1,0
4,4,4,2,164,1,4,3,0,0,99.4,0.8486304661220567,0.9222222222222224,0.9080267558528428,2824,2,5,136,5,3.19,3.4,8.0,115,5500.0,18,22,17450.0,13.055555555555555,10.681818181818182,1,0,1,1,0
5,5,5,2,122,1,2,3,1,0,99.8,0.8519942335415667,0.9208333333333332,0.8879598662207359,2507,2,5,136,5,3.19,3.4,8.5,110,5500.0,19,25,15250.0,12.36842105263158,9.4,1,0,1,1,0
6,6,6,1,158,1,4,3,1,0,105.8,0.9259971167707832,0.9916666666666668,0.9314381270903008,2844,2,5,136,5,3.19,3.4,8.5,110,5500.0,19,25,17710.0,12.36842105263158,9.4,1,0,1,1,0
7,7,7,1,122,1,4,4,1,0,105.8,0.9259971167707832,0.9916666666666668,0.9314381270903008,2954,2,5,136,5,3.19,3.4,8.5,110,5500.0,19,25,18920.0,12.36842105263158,9.4,1,0,1,1,0
8,8,8,1,158,1,4,3,1,0,105.8,0.9259971167707832,0.9916666666666668,0.9347826086956522,3086,2,5,131,5,3.13,3.4,8.3,140,5500.0,17,20,23875.0,13.823529411764708,11.75,2,0,1,0,1
9,9,9,2,192,2,2,3,2,0,101.2,0.8495915425276309,0.8999999999999999,0.9080267558528428,2395,2,4,108,5,3.5,2.8,8.8,101,5800.0,23,29,16430.0,10.217391304347826,8.103448275862071,1,0,1,1,0
10,10,10,0,192,2,4,3,2,0,101.2,0.8495915425276309,0.8999999999999999,0.9080267558528428,2395,2,4,108,5,3.5,2.8,8.8,101,5800.0,23,29,16925.0,10.217391304347826,8.103448275862071,1,0,1,1,0
